reteta,aliment,cantitate_aliment
Salata de pui cu avocado,Piept de pui,150
Salata de pui cu avocado,Avocado,1
Salata de pui cu avocado,Spanac,100
Omleta cu legume,Ou,3
Omleta cu legume,Ardei gras (rosu),1
Omleta cu legume,Rosii,100
Omleta cu legume,Ceapa verde,50
Pilaf de quinoa cu legume,Quinoa,100
Pilaf de quinoa cu legume,Ceapa,1
Pilaf de quinoa cu legume,Morcov,1
Pilaf de quinoa cu legume,Mazare,50
Smoothie verde detoxifiant,Mar,1
Smoothie verde detoxifiant,Spanac,50
Tofu cu legume la wok,Tofu,200
Tofu cu legume la wok,Ardei rosu,1
Tofu cu legume la wok,Morcov,1
Tofu cu legume la wok,Broccoli,100
Omeleta cu spanac si branza,Ou,3
Omeleta cu spanac si branza,Spanac,100
Omeleta cu spanac si branza,Branza de vaci (slaba),50
Supa crema de dovleac,Dovleac,200
Supa crema de dovleac,Ceapa,1
Supa crema de dovleac,Smantana,50
Salata Caesar cu pui si dressing din iaurt grecesc,Piept de pui,200
Salata Caesar cu pui si dressing din iaurt grecesc,Iaurt grecesc (natural),100
Pasta integrala cu legume si sos de rosii,Pasta integrala,150
Pasta integrala cu legume si sos de rosii,Ceapa,1
Pasta integrala cu legume si sos de rosii,Morcov,1
Pasta integrala cu legume si sos de rosii,Ardei gras (rosu),1
Pasta integrala cu legume si sos de rosii,Rosii,200
